"filename", "language", "TypeScript JSX", "TypeScript", "Docker", "PostCSS", "JSON", "YAML", "JSON with Comments", "JavaScript", "XML", "Markdown", "Python", "pip requirements", "Prisma", "MS SQL", "comment", "blank", "total"
"/home/chennian/myProjects/Chemistry/frontend/app/globals.css", "PostCSS", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 160
"/home/chennian/myProjects/Chemistry/frontend/app/layout.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/home/chennian/myProjects/Chemistry/frontend/app/page.tsx", "TypeScript JSX", 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 18, 297
"/home/chennian/myProjects/Chemistry/frontend/app/signin/page.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/chennian/myProjects/Chemistry/frontend/app/signup/page.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/chennian/myProjects/Chemistry/frontend/components.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/home/chennian/myProjects/Chemistry/frontend/components/commonUI/AnimatedSection.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"/home/chennian/myProjects/Chemistry/frontend/components/commonUI/ClicksChart.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 114
"/home/chennian/myProjects/Chemistry/frontend/components/commonUI/DataCard.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/home/chennian/myProjects/Chemistry/frontend/components/commonUI/ReactionsChart.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68
"/home/chennian/myProjects/Chemistry/frontend/components/commonUI/SmartValidatorDialog.tsx", "TypeScript JSX", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 170
"/home/chennian/myProjects/Chemistry/frontend/components/commonUI/UsersChart.tsx", "TypeScript JSX", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"/home/chennian/myProjects/Chemistry/frontend/components/kekule-react/composer.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 118
"/home/chennian/myProjects/Chemistry/frontend/components/kekule-react/kekule-react.tsx", "TypeScript JSX", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 45, 333
"/home/chennian/myProjects/Chemistry/frontend/components/kekule-react/viewer.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 90
"/home/chennian/myProjects/Chemistry/frontend/components/ui/alert-dialog.tsx", "TypeScript JSX", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 197
"/home/chennian/myProjects/Chemistry/frontend/components/ui/avatar.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/home/chennian/myProjects/Chemistry/frontend/components/ui/badge.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"/home/chennian/myProjects/Chemistry/frontend/components/ui/breadcrumb.tsx", "TypeScript JSX", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
"/home/chennian/myProjects/Chemistry/frontend/components/ui/button.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"/home/chennian/myProjects/Chemistry/frontend/components/ui/calendar.tsx", "TypeScript JSX", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 221
"/home/chennian/myProjects/Chemistry/frontend/components/ui/card.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 93
"/home/chennian/myProjects/Chemistry/frontend/components/ui/chart.tsx", "TypeScript JSX", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 358
"/home/chennian/myProjects/Chemistry/frontend/components/ui/checkbox.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/home/chennian/myProjects/Chemistry/frontend/components/ui/collapsible.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/home/chennian/myProjects/Chemistry/frontend/components/ui/combobox.tsx", "TypeScript JSX", 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 311
"/home/chennian/myProjects/Chemistry/frontend/components/ui/command.tsx", "TypeScript JSX", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 185
"/home/chennian/myProjects/Chemistry/frontend/components/ui/dialog.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 144
"/home/chennian/myProjects/Chemistry/frontend/components/ui/drawer.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 136
"/home/chennian/myProjects/Chemistry/frontend/components/ui/dropdown-menu.tsx", "TypeScript JSX", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 258
"/home/chennian/myProjects/Chemistry/frontend/components/ui/field.tsx", "TypeScript JSX", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 249
