id,display_name,description,field,domain,works_count,cited_by_count
subfields/2200,General Engineering,applied science,Engineering,Physical Sciences,72538,43938
subfields/2506,Metals and Alloys,an alloy designation system widely accepted in North America,Materials Science,Physical Sciences,67407,806574
subfields/2803,Biological Psychiatry,approach to psychiatry that aims to understand mental disorder in terms of the biological function of the nervous system,Neuroscience,Life Sciences,66459,1468010
subfields/3608,Medical Terminology,"language used in the field of medicine to precisely describe the human body including its components, processes, conditions affecting it, and procedures performed upon it",Health Professions,Health Sciences,65612,48265
subfields/3402,Equine,domesticated four-footed mammal from the equine family,Veterinary,Health Sciences,65496,652022
subfields/2911,Leadership and Management,academic degree,Nursing,Health Sciences,59906,124544
subfields/1506,Filtration and Separation,separating components suspended in a fluid based on granularity properties relying on a filter device,Chemical Engineering,Physical Sciences,59408,714842
subfields/2726,Microbiology,study of microscopic organisms,Medicine,Health Sciences,59019,226874
subfields/3500,General Dentistry,branch of medicine dealing with oral health and teeth,Dentistry,Health Sciences,58688,254238
subfields/2922,Research and Theory,systematic study undertaken to increase knowledge,Nursing,Health Sciences,56523,590877
subfields/1504,Chemical Health and Safety,prevention of occupational hazards,Chemical Engineering,Physical Sciences,56102,143110
subfields/2103,Fuel Technology,"technology used in the extraction, processing and consumption of fuel resources",Energy,Physical Sciences,49791,111839
subfields/1108,Horticulture,agriculture of plants,Agricultural and Biological Sciences,Life Sciences,45861,159899
subfields/3102,Acoustics and Ultrasonics,"science that deals with the study of all mechanical waves in gases, liquids, and solids including vibration, sound, ultrasound and infrasound",Physics and Astronomy,Physical Sciences,26623,366103
subfields/2605,Computational Mathematics,area of mathematics,Mathematics,Physical Sciences,24101,287170
subfields/3002,Drug Discovery,the process by which new candidate medications are discovered,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,14896,15094
subfields/2104,Nuclear Energy and Engineering,power generated from nuclear reactions,Energy,Physical Sciences,12010,28065
